commodity,sl_no,district,market,variety,grade,min_price,max_price,modal_price,price_date
Tomato,28,Chamrajnagar,Chamaraj Nagar,Tomato,Local,400,1200,900,14 Oct 2025
Tomato,29,Chamrajnagar,Chamaraj Nagar,Tomato,Local,500,1200,900,16 Oct 2025
Tomato,30,Chamrajnagar,Chamaraj Nagar,Tomato,Local,500,1200,900,17 Oct 2025
Tomato,31,Chamrajnagar,Chamaraj Nagar,Tomato,Local,500,1200,900,21 Oct 2025
Tomato,32,Chamrajnagar,Chamaraj Nagar,Tomato,Local,500,1400,1000,18 Oct 2025
Tomato,33,Chamrajnagar,Chamaraj Nagar,Tomato,Local,500,1500,1000,23 Oct 2025
Tomato,34,Chamrajnagar,Chamaraj Nagar,Tomato,Local,600,1200,900,15 Oct 2025
Tomato,35,Chamrajnagar,Chamaraj Nagar,Tomato,Local,600,1400,1000,13 Oct 2025
Tomato,36,Chamrajnagar,Chamaraj Nagar,Tomato,Local,600,1500,1050,08 Oct 2025
Tomato,37,Chamrajnagar,Chamaraj Nagar,Tomato,Local,800,1200,1000,04 Oct 2025
Tomato,38,Chamrajnagar,Chamaraj Nagar,Tomato,Local,800,1300,1050,06 Oct 2025
Tomato,39,Chamrajnagar,Chamaraj Nagar,Tomato,Local,800,1400,1100,10 Oct 2025
Tomato,40,Chamrajnagar,Chamaraj Nagar,Tomato,Local,800,1500,1150,09 Oct 2025
Tomato,41,Chamrajnagar,Chamaraj Nagar,Tomato,Local,1000,1500,1300,03 Oct 2025
Tomato,42,Bangalore,Channapatana,Tomato,Local,650,1500,1000,17 Oct 2025
Tomato,43,Bangalore,Channapatana,Tomato,Local,750,1650,1100,22 Oct 2025
Tomato,44,Bangalore,Channapatana,Tomato,Local,750,1650,1200,08 Oct 2025
Tomato,45,Bangalore,Channapatana,Tomato,Local,750,1650,1200,09 Oct 2025
Tomato,46,Bangalore,Channapatana,Tomato,Local,750,1650,1200,14 Oct 2025
Tomato,47,Bangalore,Channapatana,Tomato,Local,850,1650,1150,16 Oct 2025
Tomato,48,Bangalore,Channapatana,Tomato,Local,850,1850,1500,13 Oct 2025
Tomato,49,Bangalore,Channapatana,Tomato,Local,900,1750,1350,06 Oct 2025
Tomato,50,Bangalore,Channapatana,Tomato,Local,900,1750,1350,07 Oct 2025
Tomato,51,Bangalore,Channapatana,Tomato,Local,900,1900,1500,23 Oct 2025
Tomato,52,Bangalore,Channapatana,Tomato,Local,2500,3000,2700,15 Oct 2025
Tomato,53,Kolar,Chickkaballapura,Tomato,Local,400,1500,940,12 Oct 2025
Tomato,54,Kolar,Chickkaballapura,Tomato,Local,400,1520,950,11 Oct 2025
Tomato,55,Kolar,Chickkaballapura,Tomato,Local,400,1540,960,10 Oct 2025
Tomato,56,Kolar,Chickkaballapura,Tomato,Local,400,1540,960,21 Oct 2025
Tomato,57,Kolar,Chickkaballapura,Tomato,Local,400,1650,1020,20 Oct 2025
Tomato,58,Kolar,Chickkaballapura,Tomato,Local,400,1690,1040,13 Oct 2025
Tomato,59,Chikmagalur,Chikkamagalore,Tomato,Local,1097,1297,1197,16 Oct 2025
Tomato,60,Chikmagalur,Chikkamagalore,Tomato,Local,1199,1399,1299,23 Oct 2025
Tomato,61,Chikmagalur,Chikkamagalore,Tomato,Local,1233,1433,1333,15 Oct 2025
Tomato,62,Chikmagalur,Chikkamagalore,Tomato,Local,1306,1506,1406,09 Oct 2025
Tomato,63,Chikmagalur,Chikkamagalore,Tomato,Local,1313,1513,1413,13 Oct 2025
Tomato,64,Chikmagalur,Chikkamagalore,Tomato,Local,1333,1533,1433,18 Oct 2025
Tomato,65,Chikmagalur,Chikkamagalore,Tomato,Local,1334,1334,1334,14 Oct 2025
Tomato,66,Chikmagalur,Chikkamagalore,Tomato,Local,1336,1536,1436,08 Oct 2025
Tomato,67,Chikmagalur,Chikkamagalore,Tomato,Local,1360,1560,1460,10 Oct 2025
Tomato,68,Chikmagalur,Chikkamagalore,Tomato,Local,1630,1830,1730,06 Oct 2025
Tomato,69,Kolar,Chintamani,Tomato,Local,300,1660,1000,10 Oct 2025
Tomato,70,Kolar,Chintamani,Tomato,Local,300,1660,1000,11 Oct 2025
Tomato,71,Kolar,Chintamani,Tomato,Local,300,1800,1060,13 Oct 2025
Tomato,72,Kolar,Chintamani,Tomato,Local,330,1660,1333,18 Oct 2025
Tomato,73,Kolar,Chintamani,Tomato,Local,330,1730,1000,06 Oct 2025
Tomato,74,Kolar,Chintamani,Tomato,Local,330,1800,1000,14 Oct 2025
Tomato,75,Kolar,Chintamani,Tomato,Local,330,1800,1060,04 Oct 2025
Tomato,76,Kolar,Chintamani,Tomato,Local,330,1860,1000,03 Oct 2025
Tomato,77,Kolar,Chintamani,Tomato,Local,330,2000,1130,15 Oct 2025
Tomato,78,Kolar,Chintamani,Tomato,Local,330,2330,1330,22 Oct 2025
Tomato,79,Kolar,Chintamani,Tomato,Local,330,2660,1330,23 Oct 2025
Tomato,80,Bangalore,Doddaballa Pur,Tomato,Local,1000,1400,1200,18 Oct 2025
Tomato,81,Kolar,Gowribidanoor,Tomato,Local,800,1500,1300,15 Oct 2025
Tomato,82,Kolar,Gowribidanoor,Tomato,Local,800,1800,1200,16 Oct 2025
Tomato,83,Kolar,Gowribidanoor,Tomato,Local,1000,2000,1500,03 Oct 2025
Tomato,84,Kolar,Gowribidanoor,Tomato,Local,1000,2000,1500,04 Oct 2025
Tomato,85,Kolar,Gowribidanoor,Tomato,Local,1000,2000,1500,18 Oct 2025
Tomato,86,Kolar,Gowribidanoor,Tomato,Local,1000,2000,1500,22 Oct 2025
Tomato,87,Kolar,Gowribidanoor,Tomato,Local,1500,2500,2000,23 Oct 2025
Tomato,88,Chamrajnagar,Gundlupet,Tomato,Local,1100,1200,1200,16 Oct 2025
Tomato,89,Chamrajnagar,Gundlupet,Tomato,Local,1300,1400,1400,08 Oct 2025
Tomato,90,Chamrajnagar,Gundlupet,Tomato,Local,1400,1500,1500,04 Oct 2025
Tomato,91,Chamrajnagar,Gundlupet,Tomato,Local,1500,1500,1500,15 Oct 2025
Tomato,92,Chamrajnagar,Gundlupet,Tomato,Local,1500,1500,1500,21 Oct 2025
Tomato,93,Chamrajnagar,Gundlupet,Tomato,Local,1500,1500,1500,23 Oct 2025
Tomato,94,Chamrajnagar,Gundlupet,Tomato,Local,1600,1600,1600,14 Oct 2025
Tomato,95,Chamrajnagar,Gundlupet,Tomato,Local,1700,1700,1700,09 Oct 2025
Tomato,96,Chamrajnagar,Gundlupet,Tomato,Local,1700,1700,1700,10 Oct 2025
Tomato,97,Chamrajnagar,Gundlupet,Tomato,Local,1700,1700,1700,13 Oct 2025
Tomato,98,Hassan,Hassan,Tomato,Local,1000,1400,1200,14 Oct 2025
Tomato,99,Hassan,Hassan,Tomato,Local,1000,1500,1000,15 Oct 2025
Tomato,100,Bellary,Hospet,Tomato,Local,500,1000,800,17 Oct 2025
Tomato,101,Bellary,Hospet,Tomato,Local,600,1200,1000,14 Oct 2025
Tomato,102,Bellary,Hospet,Tomato,Local,700,1000,800,08 Oct 2025
Tomato,103,Bellary,Hospet,Tomato,Local,800,1000,800,05 Oct 2025
Tomato,104,Bellary,Hospet,Tomato,Local,800,1000,800,06 Oct 2025
Tomato,105,Bellary,Hospet,Tomato,Local,800,1000,800,12 Oct 2025
Tomato,106,Bellary,Hospet,Tomato,Local,800,1000,900,15 Oct 2025
Tomato,107,Bellary,Hospet,Tomato,Local,800,1000,900,19 Oct 2025
Tomato,108,Bellary,Hospet,Tomato,Local,800,1000,1000,04 Oct 2025
Tomato,109,Bellary,Hospet,Tomato,Local,800,1000,1000,18 Oct 2025
Tomato,110,Bellary,Hospet,Tomato,Local,800,1200,1200,03 Oct 2025
Tomato,111,Mandya,K.R. Pet,Tomato,Local,1400,1700,1700,10 Oct 2025
Tomato,112,Mandya,K.R. Pet,Tomato,Local,1500,1500,1500,03 Oct 2025
Tomato,113,Mandya,K.R. Pet,Tomato,Local,1500,1500,1500,07 Oct 2025
Tomato,114,Mandya,K.R. Pet,Tomato,Local,1500,1500,1500,12 Oct 2025
Tomato,115,Mandya,K.R. Pet,Tomato,Local,1500,1500,1500,14 Oct 2025
Tomato,116,Mandya,K.R. Pet,Tomato,Local,1500,1500,1500,15 Oct 2025
Tomato,117,Mandya,K.R. Pet,Tomato,Local,1500,1500,1500,16 Oct 2025
Tomato,118,Mandya,K.R. Pet,Tomato,Local,1500,1500,1500,20 Oct 2025
Tomato,119,Kalburgi,Kalburgi,Tomato,Local,400,1000,700,11 Oct 2025
Tomato,120,Kalburgi,Kalburgi,Tomato,Local,500,1000,750,03 Oct 2025
Tomato,121,Kalburgi,Kalburgi,Tomato,Local,500,1000,750,08 Oct 2025
Tomato,122,Kalburgi,Kalburgi,Tomato,Local,500,1000,750,09 Oct 2025
Tomato,123,Kalburgi,Kalburgi,Tomato,Local,500,1000,750,14 Oct 2025
Tomato,124,Kalburgi,Kalburgi,Tomato,Local,500,1000,750,15 Oct 2025
Tomato,125,Kalburgi,Kalburgi,Tomato,Local,500,1000,750,16 Oct 2025
Tomato,126,Kalburgi,Kalburgi,Tomato,Local,500,1000,750,17 Oct 2025
Tomato,127,Kalburgi,Kalburgi,Tomato,Local,500,1200,850,23 Oct 2025
Tomato,128,Kalburgi,Kalburgi,Tomato,Local,800,1000,900,06 Oct 2025
Tomato,129,Kolar,Kolar,Tomato,Local,300,1660,1130,14 Oct 2025
Tomato,130,Kolar,Kolar,Tomato,Local,300,1860,1130,03 Oct 2025
Tomato,131,Kolar,Kolar,Tomato,Local,330,2000,1200,04 Oct 2025
Tomato,132,Kolar,Kolar,Tomato,Local,330,2000,1260,16 Oct 2025
Tomato,133,Kolar,Kolar,Tomato,Local,330,2000,1330,15 Oct 2025
Tomato,134,Kolar,Kolar,Tomato,Local,330,2000,1400,20 Oct 2025
Tomato,135,Kolar,Kolar,Tomato,Local,330,2260,1400,08 Oct 2025
Tomato,136,Kolar,Kolar,Tomato,Local,330,2330,1460,21 Oct 2025
Tomato,137,Kolar,Mulabagilu,Tomato,Local,333,1666,1000,20 Oct 2025
Tomato,138,Kolar,Mulabagilu,Tomato,Local,333,1800,933,11 Oct 2025
Tomato,139,Kolar,Mulabagilu,Tomato,Local,333,1800,1000,13 Oct 2025
Tomato,140,Kolar,Mulabagilu,Tomato,Local,333,2000,1000,10 Oct 2025
Tomato,141,Kolar,Mulabagilu,Tomato,Local,333,2000,1066,21 Oct 2025
Tomato,142,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1000,1200,1100,16 Oct 2025
Tomato,143,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1000,1200,1100,17 Oct 2025
Tomato,144,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1100,1300,1200,06 Oct 2025
Tomato,145,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1300,1500,1400,03 Oct 2025
Tomato,146,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1300,1500,1400,15 Oct 2025
Tomato,147,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1300,1500,1400,22 Oct 2025
Tomato,148,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1500,1700,1600,08 Oct 2025
Tomato,149,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1500,1700,1600,09 Oct 2025
Tomato,150,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1500,1700,1600,12 Oct 2025
Tomato,151,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1500,1700,1600,13 Oct 2025
Tomato,152,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1500,1700,1600,14 Oct 2025
Tomato,153,Mysore,Mysore (Bandipalya),Tomato,Ref grade-1,1800,2000,1900,23 Oct 2025
Tomato,154,Bangalore,Ramanagara,Tomato,Local,800,1300,1000,22 Oct 2025
Tomato,155,Bangalore,Ramanagara,Tomato,Local,800,1500,1250,17 Oct 2025
Tomato,156,Bangalore,Ramanagara,Tomato,Local,800,1600,1200,16 Oct 2025
Tomato,157,Bangalore,Ramanagara,Tomato,Local,800,1600,1200,18 Oct 2025
Tomato,158,Bangalore,Ramanagara,Tomato,Local,800,1700,1200,07 Oct 2025
Tomato,159,Bangalore,Ramanagara,Tomato,Local,1000,1600,1400,03 Oct 2025
Tomato,160,Bangalore,Ramanagara,Tomato,Local,1000,1600,1400,05 Oct 2025
Tomato,161,Bangalore,Ramanagara,Tomato,Local,1000,1600,1400,19 Oct 2025
Tomato,162,Bangalore,Ramanagara,Tomato,Local,1000,1600,1400,21 Oct 2025
Tomato,163,Bangalore,Ramanagara,Tomato,Local,1000,1700,1400,10 Oct 2025
Tomato,164,Bangalore,Ramanagara,Tomato,Local,1000,1800,1500,04 Oct 2025
Tomato,165,Bangalore,Ramanagara,Tomato,Local,1000,1800,1500,06 Oct 2025
Tomato,166,Bangalore,Ramanagara,Tomato,Local,1000,1800,1500,13 Oct 2025
Tomato,167,Bangalore,Ramanagara,Tomato,Local,1000,1800,1600,08 Oct 2025
Tomato,168,Bangalore,Ramanagara,Tomato,Local,1000,2000,1600,14 Oct 2025
Tomato,169,Bangalore,Ramanagara,Tomato,Local,1200,1800,1500,09 Oct 2025
Tomato,170,Bangalore,Ramanagara,Tomato,Local,1200,1800,1500,20 Oct 2025
Tomato,171,Bangalore,Ramanagara,Tomato,Local,1200,1800,1500,23 Oct 2025
Tomato,172,Bangalore,Ramanagara,Tomato,Local,1200,2000,1500,12 Oct 2025
Tomato,173,Bangalore,Ramanagara,Tomato,Local,1200,2000,1600,15 Oct 2025
Tomato,174,Shimoga,Shimoga,Tomato,Local,400,1000,700,09 Oct 2025
Tomato,175,Shimoga,Shimoga,Tomato,Local,400,1200,800,03 Oct 2025
Tomato,176,Shimoga,Shimoga,Tomato,Local,400,1200,800,06 Oct 2025
Tomato,177,Shimoga,Shimoga,Tomato,Local,400,1200,800,08 Oct 2025
Tomato,178,Shimoga,Shimoga,Tomato,Local,400,1200,800,10 Oct 2025
Tomato,179,Shimoga,Shimoga,Tomato,Local,400,1200,800,15 Oct 2025
Tomato,180,Shimoga,Shimoga,Tomato,Local,400,1200,800,16 Oct 2025
Tomato,181,Shimoga,Shimoga,Tomato,Local,400,1200,800,17 Oct 2025
Tomato,182,Shimoga,Shimoga,Tomato,Local,400,1400,900,14 Oct 2025
Tomato,183,Shimoga,Shimoga,Tomato,Local,400,1600,1000,13 Oct 2025
Tomato,184,Shimoga,Shimoga,Tomato,Local,800,1600,1200,21 Oct 2025
Tomato,185,Shimoga,Shimoga,Tomato,Local,800,1600,1200,23 Oct 2025
Tomato,186,Tumkur,Tumkur,Tomato,Local,1600,2500,2200,10 Oct 2025
Tomato,187,Tumkur,Tumkur,Tomato,Local,1800,2600,2200,14 Oct 2025
Tomato,188,Tumkur,Tumkur,Tomato,Local,1850,2600,2150,16 Oct 2025
Potato,1,Kolar,Bangarpet,Jalander,Local,1800,2200,2000,11 Oct 2025
Potato,2,Kolar,Bangarpet,Local,Local,900,2000,1800,21 Oct 2025
Potato,3,Kolar,Bangarpet,Local,Local,1000,1900,1500,03 Oct 2025
Potato,4,Kolar,Bangarpet,Local,Local,1000,2000,1500,09 Oct 2025
Potato,5,Kolar,Bangarpet,Local,Local,1000,2000,1500,11 Oct 2025
Potato,6,Kolar,Bangarpet,Local,Local,1000,2000,1500,22 Oct 2025
Potato,7,Kolar,Bangarpet,Local,Local,1000,2000,1700,18 Oct 2025
Potato,8,Kolar,Bangarpet,Local,Local,1000,2000,1700,23 Oct 2025
Potato,9,Kolar,Bangarpet,Local,Local,1000,2000,1800,10 Oct 2025
Potato,10,Kolar,Bangarpet,Local,Local,1000,2000,1800,20 Oct 2025
Potato,11,Kolar,Bangarpet,Local,Local,1000,2300,1700,17 Oct 2025
Potato,12,Kolar,Bangarpet,Local,Local,1500,2000,1900,16 Oct 2025
Potato,13,Kolar,Bangarpet,Local,Local,1500,2200,1800,07 Oct 2025
Potato,14,Kolar,Bangarpet,Local,Local,1700,2300,2000,13 Oct 2025
Potato,15,Kolar,Chickkaballapura,Local,Local,300,2200,1800,15 Oct 2025
Potato,16,Kolar,Chickkaballapura,Local,Local,400,2000,1800,13 Oct 2025
Potato,17,Kolar,Chickkaballapura,Local,Local,1800,2000,1900,10 Oct 2025
Potato,18,Kolar,Chickkaballapura,Local,Local,1800,2000,1900,11 Oct 2025
Potato,19,Kolar,Chickkaballapura,Local,Local,1800,2000,1900,12 Oct 2025
Potato,20,Chikmagalur,Chikkamagalore,Other,Local,1816,2016,1916,16 Oct 2025
Potato,21,Chikmagalur,Chikkamagalore,Other,Local,1947,2147,2047,06 Oct 2025
Potato,22,Chikmagalur,Chikkamagalore,Other,Local,1960,2160,2060,13 Oct 2025
Potato,23,Chikmagalur,Chikkamagalore,Other,Local,1984,2184,2084,23 Oct 2025
Potato,24,Chikmagalur,Chikkamagalore,Other,Local,2000,2000,2000,08 Oct 2025
Potato,25,Chikmagalur,Chikkamagalore,Other,Local,2020,2020,2020,15 Oct 2025
Potato,26,Chikmagalur,Chikkamagalore,Other,Local,2084,2084,2084,09 Oct 2025
Potato,27,Chikmagalur,Chikkamagalore,Other,Local,2084,2084,2084,10 Oct 2025
Potato,28,Chikmagalur,Chikkamagalore,Other,Local,2084,2084,2084,18 Oct 2025
Potato,29,Chikmagalur,Chikkamagalore,Other,Local,2223,2223,2223,14 Oct 2025
Potato,30,Kolar,Chintamani,Local,Local,1300,1500,1400,10 Oct 2025
Potato,31,Kolar,Gowribidanoor,Potato,Local,1500,2200,2000,15 Oct 2025
Potato,32,Kolar,Gowribidanoor,Potato,Local,1500,2500,2000,03 Oct 2025
Potato,33,Kolar,Gowribidanoor,Potato,Local,1500,2500,2000,04 Oct 2025
Potato,34,Kolar,Gowribidanoor,Potato,Local,1500,2500,2000,16 Oct 2025
Potato,35,Kolar,Gowribidanoor,Potato,Local,1500,2500,2000,22 Oct 2025
Potato,36,Kolar,Gowribidanoor,Potato,Local,1500,2500,2000,23 Oct 2025
Potato,37,Kolar,Gowribidanoor,Potato,Local,2000,2800,2500,18 Oct 2025
Potato,38,Chamrajnagar,Gundlupet,Potato,Local,1500,1500,1500,03 Oct 2025
Potato,39,Hassan,Hassan,Potato,Local,900,1700,1100,03 Oct 2025
Potato,40,Hassan,Hassan,Potato,Local,1100,1400,1100,15 Oct 2025
Potato,41,Hassan,Hassan,Potato,Local,1800,1900,1800,16 Oct 2025
Potato,42,Bellary,Hospet,Potato,Local,1400,2000,1800,03 Oct 2025
Potato,43,Bellary,Hospet,Potato,Local,1500,1600,1600,14 Oct 2025
Potato,44,Bellary,Hospet,Potato,Local,1500,1600,1600,18 Oct 2025
Potato,45,Bellary,Hospet,Potato,Local,1600,1600,1600,04 Oct 2025
Potato,46,Bellary,Hospet,Potato,Local,1600,1600,1600,12 Oct 2025
Potato,47,Bellary,Hospet,Potato,Local,1600,1800,1800,08 Oct 2025
Potato,48,Bellary,Hospet,Potato,Local,1600,2000,1800,15 Oct 2025
Potato,49,Bellary,Hospet,Potato,Local,1600,2000,2000,13 Oct 2025
Potato,50,Bellary,Hospet,Potato,Local,1600,2200,1800,05 Oct 2025
Potato,51,Bellary,Hospet,Potato,Local,1600,2200,1800,19 Oct 2025
Potato,52,Bellary,Hospet,Potato,Local,1800,1800,1800,17 Oct 2025
Potato,53,Dharwad,Hubli (Amaragol),Potato,Local,900,2000,1400,04 Oct 2025
Potato,54,Dharwad,Hubli (Amaragol),Potato,Local,1000,1700,1400,11 Oct 2025
Potato,55,Dharwad,Hubli (Amaragol),Potato,Local,1000,1750,1300,17 Oct 2025
Potato,56,Dharwad,Hubli (Amaragol),Potato,Local,1200,1700,1300,14 Oct 2025
Potato,57,Dharwad,Hubli (Amaragol),Potato,Local,1300,1600,1400,03 Oct 2025
Potato,58,Dharwad,Hubli (Amaragol),Potato,Local,1300,1700,1500,15 Oct 2025
Potato,59,Dharwad,Hubli (Amaragol),Potato,Local,1400,1700,1500,09 Oct 2025
Potato,60,Dharwad,Hubli (Amaragol),Potato,Local,1400,1700,1550,16 Oct 2025
Potato,61,Dharwad,Hubli (Amaragol),Potato,Local,1400,1900,1500,23 Oct 2025
Potato,62,Dharwad,Hubli (Amaragol),Potato,Local,1500,1800,1700,13 Oct 2025
Potato,63,Dharwad,Hubli (Amaragol),Potato,Local,1500,1800,1700,18 Oct 2025
Potato,64,Dharwad,Hubli (Amaragol),Potato,Local,1500,2000,1750,08 Oct 2025
Potato,65,Kalburgi,Kalburgi,Potato,Local,1000,1200,1100,06 Oct 2025
Potato,66,Kalburgi,Kalburgi,Potato,Local,1000,1200,1100,14 Oct 2025
Potato,67,Kalburgi,Kalburgi,Potato,Local,1000,1500,1250,03 Oct 2025
Potato,68,Kalburgi,Kalburgi,Potato,Local,1000,1500,1250,17 Oct 2025
Potato,69,Kalburgi,Kalburgi,Potato,Local,1000,1600,1300,08 Oct 2025
Potato,70,Kalburgi,Kalburgi,Potato,Local,1000,1600,1300,09 Oct 2025
Potato,71,Kalburgi,Kalburgi,Potato,Local,1000,1600,1300,11 Oct 2025
Potato,72,Kalburgi,Kalburgi,Potato,Local,1000,1600,1300,15 Oct 2025
Potato,73,Kalburgi,Kalburgi,Potato,Local,1000,1700,1350,23 Oct 2025
Potato,74,Kolar,Kolar,Local,Local,1500,2000,1800,21 Oct 2025
Potato,75,Kolar,Kolar,Local,Local,2000,2500,2300,16 Oct 2025
Potato,76,Kolar,Kolar,Local,Local,2000,3000,2400,14 Oct 2025
Potato,77,Kolar,Kolar,Local,Local,2000,3000,2500,15 Oct 2025
Potato,78,Kolar,Malur,Potato,Local,1800,2200,2000,08 Oct 2025
Potato,79,Mysore,Mysore (Bandipalya),Potato,Ref grade-1,1200,2000,1500,03 Oct 2025
Potato,80,Bangalore,Ramanagara,Potato,Local,2000,2600,2400,08 Oct 2025
Potato,81,Shimoga,Shimoga,Local,Local,2000,3000,2500,03 Oct 2025
Potato,82,Shimoga,Shimoga,Local,Local,2000,3000,2500,06 Oct 2025
Potato,83,Shimoga,Shimoga,Local,Local,2000,3000,2500,08 Oct 2025
Potato,84,Shimoga,Shimoga,Local,Local,2000,3000,2500,09 Oct 2025
Potato,85,Shimoga,Shimoga,Local,Local,2000,3000,2500,10 Oct 2025
Potato,86,Shimoga,Shimoga,Local,Local,2000,3000,2500,13 Oct 2025
Potato,87,Shimoga,Shimoga,Local,Local,2000,3000,2500,14 Oct 2025
Potato,88,Shimoga,Shimoga,Local,Local,2000,3000,2500,15 Oct 2025
Potato,89,Shimoga,Shimoga,Local,Local,2000,3000,2500,16 Oct 2025
Potato,90,Shimoga,Shimoga,Local,Local,2000,3000,2500,17 Oct 2025
Potato,91,Shimoga,Shimoga,Local,Local,2000,3000,2500,21 Oct 2025
Potato,92,Shimoga,Shimoga,Local,Local,2000,3000,2500,23 Oct 2025
Potato,93,Udupi,Udupi,Potato,Local,1400,1500,1500,06 Oct 2025
Potato,94,Udupi,Udupi,Potato,Local,1700,1800,1800,08 Oct 2025
Potato,95,Udupi,Udupi,Potato,Local,1700,1800,1800,13 Oct 2025
Maize,1,Belgaum,Bailahongal,Hybrid/Local,Local,0,0,1612,23 Oct 2025
Maize,2,Belgaum,Bailahongal,Hybrid/Local,Local,0,0,1942,16 Oct 2025
Maize,3,Belgaum,Bailahongal,Hybrid/Local,Local,0,0,1960,18 Oct 2025
Maize,4,Shimoga,Bhadravathi,Local,Local,0,0,2225,23 Oct 2025
Maize,5,Chikmagalur,Chikkamagalore,Local,Local,0,0,2150,13 Oct 2025
Maize,6,Chitradurga,Chitradurga,Local,Local,1200,2189,2023,06 Oct 2025
Maize,7,Chitradurga,Chitradurga,Local,Local,1201,2159,1919,10 Oct 2025
Maize,8,Chitradurga,Chitradurga,Local,Local,1271,2150,1997,08 Oct 2025
Maize,9,Chitradurga,Chitradurga,Local,Local,1509,2139,1968,13 Oct 2025
Maize,10,Chitradurga,Chitradurga,Local,Local,2049,2219,2166,03 Oct 2025
Maize,11,Chitradurga,Chitradurga,Local,Local,3430,3889,3776,15 Oct 2025
Maize,12,Karwar(Uttar Kannad),Haliyala,Hybrid/Local,Local,1800,2050,1900,17 Oct 2025
Maize,13,Karwar(Uttar Kannad),Haliyala,Hybrid/Local,Local,1820,2000,1900,18 Oct 2025
Maize,14,Karwar(Uttar Kannad),Haliyala,Hybrid/Local,Local,1850,1950,1900,23 Oct 2025
Maize,15,Karwar(Uttar Kannad),Haliyala,Hybrid/Local,Local,1850,2000,1900,21 Oct 2025
Maize,16,Karwar(Uttar Kannad),Haliyala,Hybrid/Local,Local,1865,2050,1950,16 Oct 2025
Maize,17,Karwar(Uttar Kannad),Haliyala,Hybrid/Local,Local,1875,2150,2000,15 Oct 2025
Maize,18,Karwar(Uttar Kannad),Haliyala,Hybrid/Local,Local,2000,2075,2037,10 Oct 2025
Maize,19,Karwar(Uttar Kannad),Haliyala,Hybrid/Local,Local,2000,2100,2030,14 Oct 2025
